No;Name of Digital tool;Digital Tool;Type of Digital tool;Goal related to CHOICE’s scope;Description;Availability;IAMs relation;Available link;Manufacturer;Video;Feedback by the user;Reviews;Additional comments;Reviews summary;Downloaded;Tested;;;;;;;;;;;;;
1.;Inoqo personal lifestyle app’;Mobile Application;Educational app;Sustainable Food Consumption;An app that you can check the impact of your products, before you buy them. Reward system by scanning the receipt of your grocery shopping calculate your impact and get rewarded with vouchers on your next shopping according to your sustainable choices;Austria (only in german) so far;after the project;www.inoqo.com;inoqo gmbh (inoqo);here & here;website, appstore & playstore;4,7 (42) appstore &  playstore;Its a service for products or markets that is combined with an app;"Positive Reviews:
Practical and Efficient: Users find the app practical for tracking their shopping and appreciate the rewards in the form of cool vouchers.

Sustainability Focus: The app is praised for encouraging sustainable and ethical shopping. It allows users to scan receipts from various stores like Billa, Spar, and Hofer to see the environmental and ethical impact of their purchases.

Monthly Challenges: Users enjoy participating in monthly challenges that encourage them to try new things, like different types of plant-based milk. Successful completion of challenges is rewarded with vouchers for organic products.

Educational: The app is not just about tracking; it also educates users on how to be more sustainable and health-conscious through various insights.

Great Design and Articles: Users like the app's design and find the articles within the app informative and easy to access.

Monetary Rewards: Every month, one user is selected to get a refund for all the purchases they've scanned into the app, making it financially rewarding as well.

Personalization: When creating their account (and later in settings) users can choose their preferred diet and food habits, so that suggestions can be in line with their preferences. 

Negative Reviews:
Registration Required: Some users are disappointed that the app cannot be used without registering.

Recognition Errors: Occasionally, the app does not correctly recognize the products, although users note that these issues are usually quickly corrected. However, these issues have to be reported manually. 

Limited Usability in Some Regions: One user mentioned that the app is new in Austria and would like to see the feature of importing digital receipts in PDF format.

Overall, the inoqo app is highly praised for its focus on sustainability, educational content, and rewards. However, there are minor issues related to product recognition and the necessity of registration.

";Yes;No;interesting webinar;;;;;;;;;;;;
2.;‘Shrink your Food Waste’ app;Mobile Application;Meal planning app;Sustainable Food Consumption;Shrink your food waste app, will enable users track their food items and when they are expiring, with reminders when food is ready to ‘go off’. It will provide information  to assist the user preserve its food in better conditions. Locally inspired recipe recommendations. the app will offer convenient features, such as integrated shopping lists with smart prioritisation, focusing on previously tracked targets and achieved goals. The app will indicate the impact of food waste reduction at a personal level, but also, capitalising on IAM models’ simplified interfaces and associated results, will reflect the impacts of such behavioural shift potential when adopted at large-scale.;Everywhere;Yes;N/A yet;CHOICE? Not mentioned;N/A yet;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;
3.;Just Salad;Mobile Application;Restaurant app;Sustainable Food Consumption;An app that is a tool to make healthy eating (ordering) options and to take action for the planet, by knowing the environmental impact of what you eat. calculation of environmental impact by https://www.planetfwd.com/;USA & Dubai;N/A;https://justsalad.com/;Just Salad LLC (USA);here;website, appstore & playstore;4,8 (9.7k) appstore &  playstore;App connected with restaurants and catering;" The app is praised for its interactive nutrition and carbon footprint information, its filtering options by dietary preference, and its one-tap reordering. However, some users have reported issues with adding a credit card for payment, as well as dissatisfaction with the reward system.

A review on website called JustUseApp that gives the Just Salad app a rating of 4.8 out of 5 based on 7,832 reviews. The app is praised for its wide variety of choices, its fresh ingredients, and its simple and intuitive interface 2. Some users have reported issues with reordering and tipping, as well as dissatisfaction with the rewards program ";No;No;;;;;;;;;;;;;
4.;ForkRanger;Mobile Application;Educational app;minimize food waste;The app provides users with one story a day about sustainable food, infographics about the food system, and easy, vegetarian recipes. The app is designed to help users eat more plant-based and seasonal foods, understand how to eat sustainably, and discover new recipes.;Everywhere;N/A;https://www.forkranger.com/;Fork Ranger (Netherlands);https://www.youtube.com/watch?v=cNovFnEBdOo;website, appstore & playstore;;;;Yes;Yes;;;;;;;;;;;;;
5.;Fooducate;Mobile Application;Educational app;sustainable food consumption;An app that educates users about the nutritional value of foods.;EU + other countries;No;https://www.fooducate.com/;Fooducate, Ltd.;Youtube Link;Appstore & Playstore;4.5 (547) Appstore & 4.8 (37k) Playstore;-;Positive feedback on its educational value.;No;No;;;;;;;;;;;;;
7.;EAT Club;Mobile Application;Educational app;Sustainable Food Consumption;A corporate food delivery service that calculates and offsets the carbon footprint of meals.;USA;N/A;https://www.eatclub.com/;EATCLUB PTY LTD;https://www.youtube.com/watch?v=7N-k07ZjVIw&t=7s;website, appstore & playstore;4.7 (159k) Playstore;-; The app is praised for its interactive nutrition and carbon footprint information, its filtering options by dietary preference, and its one-tap reordering. However, some users have reported issues with adding a credit card for payment, as well as dissatisfaction with the reward system;No;No;;;;;;;;;;;;;
8.;Olio;Mobile Application;Food sharing app;minimize food waste;An app that facilitates the sharing of everything including surplus food items within a local community to reduce waste.;Everywhere;N/A;https://olioapp.com/en/;OLIO Exchange Ltd (UK);here;website, appstore & playstore;4.6 (10k) Appstore & 4.7 (45k) Playstore;Not only food sharing but item sharing too;Helps in reducing food waste by sharing.;Yes;No users to be tested in Greece;;;;;;;;;;;;;
9.;FlashFood;Mobile Application;Food sharing app;minimize food waste;Helps retailers sell surplus food before it becomes waste.;USA & CANADA;N/A;https://www.flashfood.com/;Flashfood Inc;https://drive.google.com/drive/folders/1-7tXjwfw5jSYBg0KS3YtSZHRxN7wzp7s;website, appstore & playstore;4.7 (18,3k) Playstore;;It is praised for its user-friendly interface and its effectiveness in reducing food waste. Some users have suggested improvements in the app's location services and real-time inventory updates.;No;No;;;;;;;;;;;;;
10.;Seasonal Food Guide;Mobile Application;Grocery shopping app;sustainable food consumption;Helps users find seasonal foods in their area.;EU + other countries;N/A;https://www.seasonalfoodguide.org/;Seasonal Food Guide;Youtube Link;Appstore & Playstore;4.7 (500) Appstore & 4.6 (1k) Playstore;-;The app is generally well-received for its user-friendly interface and its mission to promote seasonal and local foods.;;;;;;;;;;;;;;;
11.;Imperfect Food;Mobile Application;Grocery shopping app;minimize food waste;a grocery delivery service that aims to reduce food waste by selling reclaimed produce that would otherwise be thrown away, along with a number of other reclaimed grocery items.;USA;N/A;https://www.imperfectfoods.com/;Imperfect Foods;https://www.youtube.com/watch?v=NzRsuf9rJAY;Appstore & Playstore;3.6 (216) Appstore;;The service is praised for its environmental impact and cost-saving benefits. Some users have reported issues with delivery and product quality.;No;No;3 apps;https://www.youtube.com/watch?v=BIim_H3khAQ;;;;;;;;;;;
